Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
RH-HER29,21.814000,-181.920100,Bottom,-6.469000,MT9102ET,HE_KEY_1.00u
RH-HER30,104.537000,-197.492100,Bottom,90.000000,MT9102ET,HE_SHARED_MIDPOINT
RH-HER33,135.494000,-197.492100,Bottom,0.000000,MT9102ET,HE_KEY_1.50u
RH-HER35,63.764000,-197.930100,Bottom,-1.778000,MT9102ET,HE_KEY_1.50u
RH-HER36,25.785000,-200.725100,Bottom,-5.955000,MT9102ET,HE_KEY_2.25u
RH-HER4,127.874000,-121.292100,Bottom,0.000000,MT9102ET,HE_KEY_2.00u
RH-HER6,60.568000,-121.701100,Bottom,-2.185000,MT9102ET,HE_KEY_1.00u
RH-HER7,39.639000,-122.999100,Bottom,-5.012000,MT9102ET,HE_KEY_1.00u
RH-HER8,18.719000,-125.117100,Bottom,-6.500000,MT9102ET,HE_KEY_1.00u
RH-HER9,91.679000,-140.342100,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
RH-PTR1,3.209000,-167.767100,Bottom,90.000000,856-10-012-30-051000,MillMax_856-10-012-30-051000
