Ref,Val,Package,PosX,PosY,Rot,Side
"CL8B","4.7n","C1_C_0402_1005Metric",23.268000,-35.475000,0.000000,bottom
"CL9A","100n","C1_C_0402_1005Metric",33.880000,-21.675000,0.000000,bottom
"CL9B","4.7n","C1_C_0402_1005Metric",47.080000,-35.475000,0.000000,bottom
"CL10A","100n","C1_C_0402_1005Metric",52.930800,-21.675700,0.000000,bottom
"CL10B","4.7n","C1_C_0402_1005Metric",66.130800,-35.475700,0.000000,bottom
"CL11A","100n","C1_C_0402_1005Metric",72.955400,-21.779800,-5.000000,bottom
"CL11B","4.7n","C1_C_0402_1005Metric",84.640600,-36.883900,-5.000000,bottom
"CL12A","100n","C1_C_0402_1005Metric",91.897600,-23.762900,1.000000,bottom
"CL12B","4.7n","C1_C_0402_1005Metric",103.582800,-38.867100,1.000000,bottom
"CL13A","100n","C1_C_0402_1005Metric",111.017700,-26.364500,3.000000,bottom
"CL13B","4.7n","C1_C_0402_1005Metric",121.896400,-42.059500,3.000000,bottom
"CL14A","100n","C1_C_0402_1005Metric",129.830200,-29.354300,4.000000,bottom
"CL14B","4.7n","C1_C_0402_1005Metric",140.709000,-45.049400,4.000000,bottom
"CL15A","100n","C1_C_0402_1005Metric",11.497000,-40.725000,0.000000,bottom
"CL15B","4.7n","C1_C_0402_1005Metric",24.697000,-54.525000,0.000000,bottom
"CL16A","100n","C1_C_0402_1005Metric",37.691000,-39.475000,0.000000,bottom
"CL16B","4.7n","C1_C_0402_1005Metric",50.891000,-54.525000,0.000000,bottom
"CL17A","100n","C1_C_0402_1005Metric",58.324500,-40.600300,-3.000000,bottom
"CL17B","4.7n","C1_C_0402_1005Metric",70.784200,-55.072200,-3.000000,bottom
"CL18A","100n","C1_C_0402_1005Metric",77.916100,-41.342700,-4.000000,bottom
"CL18B","4.7n","C1_C_0402_1005Metric",89.601400,-56.446900,-4.000000,bottom
